date,company_name,issue_type,severity,description
2025-09-09,전북은행,PF 점검 사전경보,Low,일부 PF 사업장의 만기 분산도가 낮아 차환 일정 사전 점검이 필요합니다.
2025-09-17,광주은행,우량 차주 편중 점검,Low,우량 중견기업 중심 포트폴리오 확대에 따라 업종 편중 여부를 정기 점검했습니다.
2025-09-23,JB우리캐피탈,ABL 회전율 모니터링,Low,매출채권 유동화 한도대출의 회전율이 개선되고 있어 정상화 속도를 추적합니다.
2025-10-06,전북은행,SME 업황 모니터링,Medium,제조업 차주군 일부에서 주문 회복 속도가 더뎌 단기 상환여력 모니터링이 필요합니다.
2025-10-14,광주은행,상업용부동산 점검,Low,임대료 회수 흐름이 둔화된 일부 자산군을 중심으로 현장 점검을 진행했습니다.
2025-10-28,JB캄보디아은행,현지 금리 변동 경보,Low,현지 기준금리 변동성 확대에 따라 무역금융 차주의 운전자금 수요 변화를 추적합니다.
2025-11-04,JB우리캐피탈,건설업 차주 점검,Medium,건설협력업체 운전자금 차주군 일부에서 매출 둔화와 자금 경색 징후가 관찰되었습니다.
2025-11-12,전북은행,민원 추세 점검,Low,비대면 대출 프로세스 관련 민원 건수가 전월 대비 증가해 원인 분류를 시작했습니다.
2025-11-19,광주은행,매출채권 회수 추적,Low,매출채권 담보대출 회수 주기 단축 효과가 유지되는지 추적하고 있습니다.
2025-11-27,JB캄보디아은행,리스케줄링 성과 점검,Low,현지 SME 담보대출 리스케줄링 대상 차주의 재연체 여부를 점검했습니다.
2025-12-03,JB우리캐피탈,PF 브릿지론 차환 경고,Medium,브릿지론 일부 사업장에서 차환 조건 재협의가 시작되어 일정 재점검이 필요합니다.
2025-12-10,전북은행,PF 공정률 모니터링,Medium,일부 본PF 사업장의 공정률 회복이 지연되어 회수 계획을 보수적으로 재검토했습니다.
2025-12-18,광주은행,서비스업 차주군 점검,Low,서비스업 운전자금 차주군 일부에서 계절적 매출 둔화가 관찰되었습니다.
2025-12-29,JB캄보디아은행,무역금융 거래처 점검,Low,주요 수출입 거래처의 회수 안정성은 양호하나 환율 민감도 점검이 필요합니다.
2026-01-07,JB우리캐피탈,담보 재평가 사전 점검,Medium,설비금융 담보군 일부에서 회수 예상가치 보수화가 필요하다는 내부 검토 의견이 있었습니다.
2026-01-15,전북은행,차주군 업황 둔화 점검,Medium,중소기업 운전자금 차주군 중 제조업 일부에서 매출 회전 둔화가 확인되었습니다.
2026-01-21,광주은행,우량 차주 유지 점검,Low,우량 중견기업 담보대출은 안정적이나 신규 취급 업종 편중을 점검 중입니다.
