date,company_name,portfolio_group,segment_name,collateral_type,industry,balance,delinquency_rate,customer_count
2026-05-01,전북은행,기업금융,부동산PF 본PF,부동산담보,부동산개발,420,1.18,42
2026-06-01,전북은행,기업금융,부동산PF 본PF,부동산담보,부동산개발,468,1.42,45
2026-05-01,전북은행,기업금융,PF 브릿지론,토지/사업권,부동산개발,180,1.34,18
2026-06-01,전북은행,기업금융,PF 브릿지론,토지/사업권,부동산개발,214,1.71,19
2026-05-01,전북은행,기업금융,중소기업 운전자금대출,신용/보증,제조업,510,0.88,420
2026-06-01,전북은행,기업금융,중소기업 운전자금대출,신용/보증,제조업,538,0.97,436
2026-05-01,전북은행,기업금융,담보부 시설자금대출,공장/설비담보,제조업,295,0.74,130
2026-06-01,전북은행,기업금융,담보부 시설자금대출,공장/설비담보,제조업,312,0.81,136
2026-05-01,광주은행,기업금융,우량 중견기업 담보대출,부동산담보,도소매,388,0.69,112
2026-06-01,광주은행,기업금융,우량 중견기업 담보대출,부동산담보,도소매,401,0.63,115
2026-05-01,광주은행,기업금융,일반 기업운전자금대출,신용/보증,서비스업,320,0.91,208
2026-06-01,광주은행,기업금융,일반 기업운전자금대출,신용/보증,서비스업,336,1.04,216
2026-05-01,광주은행,기업금융,상업용부동산 담보대출,상업용부동산,부동산임대업,276,0.86,74
2026-06-01,광주은행,기업금융,상업용부동산 담보대출,상업용부동산,부동산임대업,286,0.95,78
2026-05-01,광주은행,기업금융,매출채권 담보대출,매출채권담보,제조업,188,0.62,91
2026-06-01,광주은행,기업금융,매출채권 담보대출,매출채권담보,제조업,210,0.54,98
2026-05-01,JB우리캐피탈,기업금융,부동산PF 브릿지론,토지/사업권,부동산개발,396,2.24,23
2026-06-01,JB우리캐피탈,기업금융,부동산PF 브릿지론,토지/사업권,부동산개발,418,2.71,26
2026-05-01,JB우리캐피탈,기업금융,본PF 참여금융,프로젝트자산,부동산개발,198,1.63,14
2026-06-01,JB우리캐피탈,기업금융,본PF 참여금융,프로젝트자산,부동산개발,207,1.88,15
2026-05-01,JB우리캐피탈,기업금융,중소법인 부동산담보대출,부동산담보,도소매,310,1.58,162
2026-06-01,JB우리캐피탈,기업금융,중소법인 부동산담보대출,부동산담보,도소매,325,1.94,175
2026-05-01,JB우리캐피탈,기업금융,상업용부동산 담보대출,상업용부동산담보,부동산임대업,265,1.44,54
2026-06-01,JB우리캐피탈,기업금융,상업용부동산 담보대출,상업용부동산담보,부동산임대업,278,1.69,57
2026-05-01,JB우리캐피탈,기업금융,설비금융·장비리스,설비담보,제조업,228,1.46,143
2026-06-01,JB우리캐피탈,기업금융,설비금융·장비리스,설비담보,제조업,236,1.73,149
2026-05-01,JB우리캐피탈,기업금융,건설협력업체 운전자금,신용/보증,건설업,221,1.81,88
2026-06-01,JB우리캐피탈,기업금융,건설협력업체 운전자금,신용/보증,건설업,233,2.24,96
2026-05-01,JB우리캐피탈,기업금융,매출채권 유동화 한도대출,ABL 구조,제조업,112,1.12,64
2026-06-01,JB우리캐피탈,기업금융,매출채권 유동화 한도대출,ABL 구조,제조업,114,0.98,67
2026-05-01,PPCBank,기업금융,현지 SME 담보대출,부동산담보,도소매,208,0.98,132
2026-06-01,PPCBank,기업금융,현지 SME 담보대출,부동산담보,도소매,214,0.91,136
2026-05-01,PPCBank,기업금융,무역금융 운전자금,매출채권/재고담보,수출입,186,0.94,84
2026-06-01,PPCBank,기업금융,무역금융 운전자금,매출채권/재고담보,수출입,194,0.89,89
2026-05-01,PPCBank,기업금융,프로젝트 파이낸싱 대출,프로젝트자산,인프라,174,1.02,12
2026-06-01,PPCBank,기업금융,프로젝트 파이낸싱 대출,프로젝트자산,인프라,182,1.08,13
2026-05-01,PPCBank,기업금융,법인 담보 운전자금대출,부동산담보,서비스업,160,0.88,64
2026-06-01,PPCBank,기업금융,법인 담보 운전자금대출,부동산담보,서비스업,166,0.84,68
